4K | 2764 | 4.50850057601929 | 7 h 10 m | 4 pounds rump roast; ; ; 1 (12 fluid ounce) can or bottle beer; ;  | ; ; ;  | Home; Recipes; Main Dish; Sandwiches; Beef
4K | 2749 | 4.55859565734863 | 1 h | 2 pounds ground beef; 1 onion, chopped; 2 teaspoons minced garlic; 1 (2 ounce) can black olives, sliced; 1 (4 ounce) can diced green chili peppers; 1 (10 ounce) can diced tomatoes with green chile peppers; 1 (16 ounce) jar taco sauce; 2 (16 ounce) cans refried beans; 12 (8 inch) flour tortillas; 9 ounces shredded Colby cheese | Preheat oven to 350 degrees F (175 degrees C).; In a large skillet over medium heat, saute the ground beef for 5 minutes. Add the onion and garlic, and saute for 5 more minutes. Drain any excess fat, if desired. Mix in the olives, green chile peppers, tomatoes with green chile peppers, taco sauce and refried beans. Stir mixture thoroughly, reduce heat to low, and let simmer for 15 to 20 minutes.; Spread a thin layer of the meat mixture in the bottom of a 4 quart casserole dish. Cover with a layer of tortillas followed by more meat mixture, then a layer of cheese. Repeat tortilla, meat, cheese pattern until all the tortillas are used, topping off with a layer of meat mixture and cheese.; Bake for 20 to 30 minutes in the preheated oven, or until cheese is slightly brown and bubbly. | Home; Recipes; World Cuisine; Latin American; Mexican
6K | 2515 | 4.61992216110229 | 40 m | 1 pound extra lean ground beef; 1/2 teaspoon sea salt; 1 small onion, diced; 1/2 teaspoon garlic salt; 1 1/2 teaspoons Italian seasoning; 3/4 teaspoon dried oregano; 3/4 teaspoon crushed red pepper flakes; 1 dash hot pepper sauce (such as Frank's RedHot®), or to taste; 1 1/2 tablespoons Worcestershire sauce; 1/3 cup skim milk; 1/4 cup grated Parmesan cheese; 1/2 cup seasoned bread crumbs | Preheat an oven to 400 degrees F (200 degrees C).; Place the beef into a mixing bowl, and season with salt, onion, garlic salt, Italian seasoning, oregano, red pepper flakes, hot pepper sauce, and Worcestershire sauce; mix well. Add the milk, Parmesan cheese, and bread crumbs. Mix until evenly blended, then form into 1 1/2-inch meatballs, and place onto a baking sheet.; Bake in the preheated oven until no longer pink in the center, 20 to 25 minutes. | Home; Recipes; Main Dish; Meatballs
4K | 2290 | 4.55496549606323 | 35 m | 1/4 cup butter, melted; 3 tablespoons Dijon mustard; 1 1/2 tablespoons honey; 1/4 cup dry bread crumbs; 1/4 cup finely chopped pecans; 4 teaspoons chopped fresh parsley; 4 (4 ounce) fillets salmon; salt and pepper to taste; 1 lemon, for garnish | Preheat oven to 400 degrees F (200 degrees C).; In a small bowl, stir together butter, mustard, and honey. Set aside. In another bowl, mix together bread crumbs, pecans, and parsley.; Brush each salmon fillet lightly with honey mustard mixture, and sprinkle the tops of the fillets with the bread crumb mixture.; Bake salmon 12 to 15 minutes in the preheated oven, or until it flakes easily with a fork. Season with salt and pepper, and garnish with a wedge of lemon. | Home; Recipes; Seafood; Fish; Salmon
4K | 2052 | 4.56548976898193 | 25 m | 3/4 teaspoon salt; 1/4 teaspoon black pepper; 1/4 teaspoon cayenne pepper; 1/8 teaspoon paprika; 1/4 teaspoon garlic powder; 1/8 teaspoon onion powder; 1/4 teaspoon dried thyme; 1/4 teaspoon dried parsley; 4 boneless, skinless chicken breast halves; 2 tablespoons butter; 1 tablespoon olive oil; 2 teaspoons garlic powder; 3 tablespoons lime juice | In a small bowl, mix together salt, black pepper, cayenne, paprika, 1/4 teaspoon garlic powder, onion powder, thyme and parsley. Sprinkle spice mixture generously on both sides of chicken breasts.; Heat butter and olive oil in a large heavy skillet over medium heat. Saute chicken until golden brown, about 6 minutes on each side. Sprinkle with 2 teaspoons garlic powder and lime juice. Cook 5 minutes more, stirring frequently to coat evenly with sauce. | Home; Recipes; Meat and Poultry; Chicken; Chicken Breasts; Skillet
4K | 2267 | 4.71338415145874 | 1 h 40 m | 1 (3 pound) whole chicken, giblets removed; salt and black pepper to taste; 1 tablespoon onion powder, or to taste; 1/2 cup margarine, divided; 1 stalk celery, leaves removed | Preheat oven to 350 degrees F (175 degrees C).; Place chicken in a roasting pan, and season generously inside and out with salt and pepper. Sprinkle inside and out with onion powder. Place 3 tablespoons margarine in the chicken cavity. Arrange dollops of the remaining margarine around the chicken's exterior. Cut the celery into 3 or 4 pieces, and place in the chicken cavity.; Bake uncovered 1 hour and 15 minutes in the preheated oven, to a minimum internal temperature of 180 degrees F (82 degrees C). Remove from heat, and baste with melted margarine and drippings. Cover with aluminum foil, and allow to rest about 30 minutes before serving. | Home; Recipes; World Cuisine; European; German
3K | 2253 | 4.54381275177002 | 55 m | 1 1/2 pounds lean ground beef; 1/2 cup crushed buttery round crackers; 3/4 cup shredded Cheddar cheese; 1 (1 ounce) package dry onion soup mix; 2 eggs, beaten; 1/4 cup ketchup; 2 tablespoons steak sauce | Preheat oven to 350 degrees F (175 degrees C).; Stir the ground beef, crushed crackers, Cheddar cheese, and onion soup mix in a large bowl until well combined. Whisk the eggs, ketchup, and steak sauce in a separate bowl until smooth. Mix the eggs into the meat until evenly combined, if the mixture seems too dry, add a little water. Press into a 9x5 inch loaf pan.; Bake in preheated oven until the meatloaf reaches 160 degrees F (71 degrees C) and is no longer pink in the center, 45 to 60 minutes. | Home; Recipes; Main Dish; Meatloaf; Beef Meatloaf
3K | 2094 | 4.61002779006958 | 1 h 20 m | 4 skinless, boneless chicken breast halves - pounded to 1/2 inch thickness; 2 teaspoons seasoning salt; 6 slices bacon, cut in half; 1/2 cup prepared yellow mustard; 1/2 cup honey; 1/4 cup light corn syrup; 1/4 cup mayonnaise; 1 tablespoon dried onion flakes; 1 tablespoon vegetable oil; 1 cup sliced fresh mushrooms; 2 cups shredded Colby-Monterey Jack cheese; 2 tablespoons chopped fresh parsley | Rub the chicken breasts with the seasoning salt, cover and refrigerate for 30 minutes.; Preheat oven to 350 degrees F (175 degrees C). Place bacon in a large, deep skillet. Cook over medium high heat until crisp. Set aside.; In a medium bowl, combine the mustard, honey, corn syrup, mayonnaise and dried onion flakes. Remove half of sauce, cover and refrigerate to serve later.; Heat oil in a large skillet over medium heat. Place the breasts in the skillet and saute for 3 to 5 minutes per side, or until browned. Remove from skillet and place the breasts into a 9x13 inch baking dish. Apply the honey mustard sauce to each breast, then layer each breast with mushrooms and bacon. Sprinkle top with shredded cheese.; Bake in preheated oven for 15 minutes, or until cheese is melted and chicken juices run clear. Garnish with parsley and serve with the reserved honey mustard sauce. | Home; Recipes; Meat and Poultry; Chicken; Chicken Breasts
5K | 2125 | 4.5881929397583 | 40 m | 1 pound ground beef; 1 egg; 1/4 cup bread crumbs; 1/8 teaspoon ground black pepper; 1/2 teaspoon seasoned salt; 1/2 teaspoon onion powder; 1/2 teaspoon garlic powder; 1 teaspoon Worcestershire sauce; 1 tablespoon vegetable oil; 1 cup thinly sliced onion; 2 tablespoons all-purpose flour; 1 cup beef broth; 1 tablespoon cooking sherry; 1/2 teaspoon seasoned salt | In a large bowl, mix together the ground beef, egg, bread crumbs, pepper, salt, onion powder, garlic powder, and Worcestershire sauce. Form into 8 balls, and flatten into patties.; Heat the oil in a large skillet over medium heat. Fry the patties and onion in the oil until patties are nicely browned, about 4 minutes per side. Remove the beef patties to a plate, and keep warm.; Sprinkle flour over the onions and drippings in the skillet. Stir in flour with a fork, scraping bits of beef off of the bottom as you stir. Gradually mix in the beef broth and sherry. Season with seasoned salt. Simmer and stir over medium-low heat for about 5 minutes, until the gravy thickens. Turn heat to low, return patties to the gravy, cover, and simmer for another 15 minutes. | Home; Recipes; Everyday Cooking
4K | 1891 | 4.51309490203857 | 1 h | 6 green bell peppers; salt to taste; 1 pound ground beef; 1/3 cup chopped onion; salt and pepper to taste; 1 (14.5 ounce) can whole peeled tomatoes, chopped; 1 teaspoon Worcestershire sauce; 1/2 cup uncooked rice; 1/2 cup water; 1 cup shredded Cheddar cheese; 2 (10.75 ounce) cans condensed tomato soup; water as needed | Bring a large pot of salted water to a boil. Cut the tops off the peppers, and remove the seeds. Cook peppers in boiling water for 5 minutes; drain. Sprinkle salt inside each pepper, and set aside.; In a large skillet, saute beef and onions for 5 minutes, or until beef is browned. Drain off excess fat, and season with salt and pepper. Stir in the tomatoes, rice, 1/2 cup water and Worcestershire sauce. Cover, and simmer for 15 minutes, or until rice is tender. Remove from heat, and stir in the cheese.; Preheat the oven to 350 degrees F. (175 degrees C). Stuff each pepper with the beef and rice mixture, and place peppers open side up in a baking dish. In a medium bowl, combine tomato soup with just enough water to make the soup a gravy consistency. Pour over the peppers.; Bake covered for 25 to 35 minutes, until heated through and cheese is melted and bubbly. | Home; Recipes; Main Dish; Stuffed Main Dishes; Stuffed Bell Peppers
4K | 1851 | 4.79115104675293 | 50 m | 6 cups chicken broth, divided; 3 tablespoons olive oil, divided; 1 pound portobello mushrooms, thinly sliced; 1 pound white mushrooms, thinly sliced; 2 shallots, diced; 1 1/2 cups Arborio rice; 1/2 cup dry white wine; sea salt to taste; freshly ground black pepper to taste; 3 tablespoons finely chopped chives; 4 tablespoons butter; 1/3 cup freshly grated Parmesan cheese | In a saucepan, warm the broth over low heat.; Warm 2 tablespoons olive oil in a large saucepan over medium-high heat. Stir in the mushrooms, and cook until soft, about 3 minutes. Remove mushrooms and their liquid, and set aside.; Add 1 tablespoon olive oil to skillet, and stir in the shallots. Cook 1 minute. Add rice, stirring to coat with oil, about 2 minutes. When the rice has taken on a pale, golden color, pour in wine, stirring constantly until the wine is fully absorbed. Add 1/2 cup broth to the rice, and stir until the broth is absorbed. Continue adding broth 1/2 cup at a time, stirring continuously, until the liquid is absorbed and the rice is al dente, about 15 to 20 minutes.; Remove from heat, and stir in mushrooms with their liquid, butter, chives, and parmesan. Season with salt and pepper to taste. | Home; Recipes; Main Dish; Rice; Risotto
