212 | 122 | 4.6011905670166 | 25 m | 1 1/2 pounds ground beef; ; ; 1 teaspoon black pepper; ;  | ; ;  | Home; Recipes; Main Dish; Burgers; Hamburgers
632 | 135 | 4.56287431716919 | 4 h 5 m | 2 eggplant, peeled and cut into 1/2-inch slices; 1 tablespoon salt, or as needed; 1 cup Italian-style bread crumbs; 1/4 cup grated Parmesan cheese; 2 eggs, beaten; 1 (28 ounce) jar garlic-and-tomato pasta sauce; 1/4 cup grated Parmesan cheese; 1 (16 ounce) package shredded mozzarella cheese, or as needed; 1/2 teaspoon dried basil | Place eggplant slices in a colander; sprinkle both sides of each slice with salt. Allow to sit for at least 3 hours. Wipe excess moisture from eggplant slices with paper towels.; Preheat oven to 350 degrees F (175 degrees C). Grease a baking sheet.; Mix bread crumbs and 1/4 cup Parmesan cheese together in a bowl.; Dip eggplant slices in beaten egg; coat with bread crumb mixture. Arrange coated eggplant slices in a single layer on the prepared baking sheet.; Bake in the preheated oven until lightly browned and crisp, about 5 minutes per side.; Cover the bottom of a 9x13-inch casserole dish with a layer of spaghetti sauce; top with a layer of eggplant slices. Sprinkle with about 1 tablespoon of the remaining Parmesan cheese and 1/3 the mozzarella cheese. Repeat layers with remaining ingredients, ending with a cheese layer. Sprinkle with basil.; Bake in the preheated oven until cheese is bubbling and golden brown, about 35 minutes. | Home; Recipes; World Cuisine; European; Italian
262 | 123 | 4.71856307983398 | 20 m | 1 pound Snow Crab clusters, thawed if necessary; 1/4 cup butter; 1 clove garlic, minced; 1 1/2 teaspoons dried parsley; 1/8 teaspoon salt; 1/4 teaspoon fresh-ground black pepper | Cut a slit, length-wise, into the shell of each piece of crab.; Melt the butter in a large skillet over medium heat; cook the garlic in the butter until translucent; stir in the parsley, salt, and pepper. Continue to heat mixture until bubbling. Add the crab legs; toss to coat; allow to simmer in the butter mixture until completely heated, 5 to 6 minutes. | Home; Recipes; Seafood; Shellfish; Crab
251 | 129 | 4.55089807510376 | 1 h 10 m | 4 (6 ounce) thick cut pork chops; 8 slices smoked Gouda cheese; 1/2 pound fresh spinach, rinsed and torn into bite-size pieces; 3 tablespoons horseradish mustard; 1 cup panko crumbs or breadcrumbs; Creole-style seasoning to taste | Preheat the oven to 400 degrees F (200 degrees C). Coat a 9x13 inch baking dish with cooking spray.; Lay each chop flat on cutting board, and with a sharp knife held parallel to the board, cut a pocket into the pork, leaving three sides intact. Stuff each chop with spinach, and then with cheese.; Place panko crumbs in a shallow dish. Coat each chop with a thin layer of horseradish, and then roll in crumbs. Arrange chops in prepared baking dish. Sprinkle with Creole seasoning to taste.; Bake in preheated oven for 45 minutes, or until brown and crispy. | Home; Recipes; Main Dish; Pork; Pork Chops; Baked
139 | 109 | 4.60843372344971 | 30 m | 8 (8 inch) flour tortillas; 2 tablespoons vegetable oil; 1 red onion, thinly sliced; 1 green bell pepper, seeded and sliced into strips; 1 red bell pepper, seeded and sliced into strips; 1 teaspoon minced garlic; 1 yellow squash, halved and sliced into strips; 1/2 cup salsa; 1 teaspoon ground cumin; 1/2 teaspoon salt; 1 cup shredded Monterey Jack cheese; 1/4 cup chopped fresh cilantro | Wrap tortillas in aluminum foil, and place in oven. Turn heat to 350 degrees F (175 degrees C). Bake for 15 minutes, or until thoroughly heated.; In a 10 inch skillet, heat oil over medium high heat. Add onions, red and green peppers, and garlic; stir to coat with oil. Cover, reduce heat to medium, and cook for 5 minutes. Stir squash into vegetables. Stir in salsa, cumin, and salt. Cover, and cook for 5 minutes.; Spoon vegetable mixture evenly down the centers of warm tortillas, and sprinkle with cheese and cilantro. Roll up tortillas, and serve. | Home; Recipes; World Cuisine; Latin American; Mexican
202 | 138 | 4.59638547897339 | 30 m | 1/2 cup butter; 5 cloves garlic, minced; 2 cups dry white wine; 1 tablespoon dried oregano; 1 tablespoon dried parsley; 1 teaspoon crushed red pepper flakes (optional); 36 clams in shell, scrubbed | Melt butter in a large skillet over medium heat. Cook garlic in butter briefly. Stir in wine, and season with oregano, parsley, and red pepper flakes.; Place clams in the wine mixture. Cover, and steam until all the clams have opened: discard any that do not open. Serve in soup bowls, and ladle broth generously over them. | Home; Recipes; World Cuisine; European; Italian
464 | 125 | 4.60843372344971 | 20 m | 4 (6 ounce) fillets salmon; 2 tablespoons olive oil; 2 tablespoons capers; 1/8 teaspoon salt; 1/8 teaspoon ground black pepper; 4 slices lemon | Preheat a large heavy skillet over medium heat for 3 minutes.; Coat salmon with olive oil. Place in skillet, and increase heat to high. Cook for 3 minutes. Sprinkle with capers, and salt and pepper. Turn salmon over, and cook for 5 minutes, or until browned. Salmon is done when it flakes easily with a fork.; Transfer salmon to individual plates, and garnish with lemon slices. | Home; Recipes; Seafood; Fish; Salmon
142 | 123 | 4.57228899002075 | 6 h 40 m | 4 cups Burgundy wine; 1 1/2 cups canola oil; 1 1/2 cups soy sauce; 2 cups oyster sauce; 1 tablespoon garlic, minced; 1 1/2 teaspoons dried oregano; 8 (6 ounce) fillets filet mignon; 1/2 cup butter, softened; 1 teaspoon Burgundy wine; 1 tablespoon minced shallots; 1 tablespoon minced green onions; 1 teaspoon ground white pepper | In a medium saucepan, mix together Burgundy wine, canola oil, soy sauce, oyster sauce, garlic and oregano. Bring to a boil, and then remove from heat. Place in the refrigerator 1 hour, or until chilled.; Place filet mignon filets in a 9x13 inch baking dish, and pour the chilled marinade over them. Cover tightly with foil, and refrigerate for a minimum of 5 hours.; In a medium bowl, cream butter and 1 teaspoon of Burgundy wine with a hand mixer. Mix in shallots, green onions and white pepper by hand; cover tightly, and refrigerate.; Preheat an outdoor grill for high heat, and lightly oil grate. Preheat oven to 200 degrees F (95 degrees C).; Grill marinated filets to desired doneness, turning once. Place filets in a clean 9x13 inch baking dish. Dollop with the Burgundy butter mixture, and place in the preheated oven for a minute, or until butter is melted. | Home; Recipes; Meat and Poultry; Beef; Steaks; Filet Mignon
209 | 130 | 4.55757570266724 | 40 m | 1 (8 ounce) package thin spaghetti; 4 (4 ounce) links sweet Italian sausage; 5 assorted bell peppers, seeded and cut into strips; 1 clove garlic, minced; 1/4 cup extra virgin olive oil; 1/2 teaspoon dried oregano; 1/2 teaspoon dried basil; salt and pepper to taste; 1/4 cup minced flat leaf parsley; freshly grated Parmesan cheese to taste | Bring a large pot of lightly salted water to a boil. Add spaghetti, and cook until al dente, about 5 minutes. Drain, and set aside.; While the pasta is getting started, slice sausages lengthwise, and remove the casings. Brown sausages in a large skillet over medium-high heat with a drizzle of the olive oil. Remove sausages to a platter, and keep warm in the oven. Add the bell peppers, garlic, oregano and basil to the skillet, and drizzle with the remaining olive oil. Saute over medium heat until peppers are tender.; Toss the pepper mixture with the drained spaghetti until well blended, and season with salt and pepper to taste. Transfer to a serving platter, and arrange the sausages on the top. Garnish with Italian parsley and Parmesan cheese. | Home; Recipes; World Cuisine; European; Italian
169 | 123 | 4.5060977935791 | 35 m | 2 (12 ounce) skinless, boneless salmon fillets; seasoned salt to taste; 1/2 teaspoon garlic powder; 1 teaspoon onion powder; 1 (17.25 ounce) package frozen puff pastry, thawed; 1/3 cup pesto; 1 (6 ounce) package spinach leaves | Preheat oven to 375 degrees F (190 degrees C).; Season the salmon fillets with salt, garlic powder, and onion powder. Divide 1/2 of the spinach between two sheets of puff pastry, and mound in the center. Place a salmon fillet on top of each mound of spinach. Spread the pesto on the salmon fillets, and top with remaining spinach. Moisten the edges of the puff pastry with water, fold to the center, and seal the seams.; Bake in preheated oven for 20 to 25 minutes until the pastry is puffed and golden, and the salmon has cooked all the way through. | Home; Recipes; Seafood; Fish; Salmon
159 | 135 | 4.55487823486328 | 30 m | 1/4 cup butter; 1 Walla Walla or other sweet onion, thinly sliced; 1 (4 ounce) package cream cheese; 4 hot dogs, or your favorite sausages; 4 hot dog buns; brown mustard; sauerkraut (optional) | Preheat grill or grill pan for medium-high heat.; Melt butter in a skillet over medium heat. Add onions, and cook slowly until the onions have softened and turned deep brown, about 15 minutes. Warm the cream cheese over low heat in a small skillet until very soft.; Grill hot dogs until well browned. Lightly grill hot dog buns on both sides.; To assemble cheese dogs, spread warm cream cheese on toasted hot dog bun, add hot dog or sausage, top with onions, mustard and sauerkraut, if desired. | Home; Recipes; Main Dish; Sandwiches; Hot Dogs and Corn Dogs
