624 | 869 | 4.50755548477173 | 1 h | 1 (8 ounce) can pineapple chunks, drained (juice reserved); ; ; ; ; ; ; ; 2 tablespoons vegetable oil; ; ; ; ; ; ;  | ; ; ;  | Home; Recipes; World Cuisine; Asian; Chinese
2K | 855 | 4.56025171279907 | 6 h 30 m | 1/4 cup soy sauce; 1/4 cup packed brown sugar; 2 tablespoons sherry; 1 1/2 teaspoons dried minced onion; 1 teaspoon ground cinnamon; 2 tablespoons olive oil; 1 pinch garlic powder; 2 (3/4 pound) pork tenderloins | Place soy sauce, brown sugar, sherry, dried onion, cinnamon, olive oil, and a touch of garlic powder in a large resealable plastic bag. Seal, and shake to mix. Place pork in bag with marinade, seal, and refrigerate for 6 to 12 hours.; Preheat grill for high heat.; Lightly oil grate. Place tenderloins on grill, and discard marinade. Cook 20 minutes, or to desired doneness. Slice into medallions, and serve. | Home; Recipes; Main Dish; Roasts
2K | 839 | 4.5302619934082 | 1 h 20 m | 1/2 cup milk; 1 cup soft bread crumbs; 1 1/2 pounds ground beef; 1 1/4 teaspoons salt; ground black pepper to taste; 1 egg, slightly beaten; 3 tablespoons steak sauce, (e.g. Heinz 57); 1 onion, chopped; 1/2 cup diced green bell pepper; 1/4 cup steak sauce, or more to taste | Preheat oven to 350 degrees F (175 degrees C). Lightly grease an 8 1/2 x 4 1/2 inch loaf pan.; Combine milk and soft bread crumbs in a small bowl and allow to soften, about 5 minutes.; In a mixing bowl, combine the ground beef, salt, pepper, egg, 3 tablespoons steak sauce, chopped onion, and green bell pepper. Add bread crumb mixture, and mix with your hands until all ingredients are combined.; Pat the the mixture into the prepared loaf pan. Brush the top with additional steak sauce.; Bake in the preheated oven for 1 hour or until done. Allow to stand 5 minutes before slicing. | Home; Recipes; Main Dish; Meatloaf; Beef Meatloaf
1K | 762 | 4.62862300872803 | 45 m | 1/2 cup olive oil, divided; 6 cloves garlic, sliced; 1 teaspoon red pepper flakes; 1 (28 ounce) can diced tomatoes with garlic and olive oil; 1/2 cup tomato sauce; 1 bunch fresh basil, chopped; 1 (12 ounce) package dried penne pasta; 2 eggs; 2 cups bread crumbs; 1 teaspoon garlic powder; 1 teaspoon salt; 1 teaspoon pepper; 1 pound thin chicken breast cutlets | Heat 1/4 cup of olive oil in a large skillet over medium heat. Add the garlic, and saute for a few minutes. Sprinkle in the red pepper flakes, and saute for another minute. Pour in the diced tomatoes and tomato sauce, and add the basil. Simmer for about 20 minutes, stirring occasionally.; Meanwhile, bring a large pot of lightly salted water to a boil. Add penne pasta, and cook for 8 minutes, or until tender. Drain.; In a small bowl, whisk eggs with a fork. Place bread crumbs in a separate bowl. Stir the garlic powder, salt and pepper into the bread crumbs. Dip chicken cutlets into the egg, then press into the bread crumbs until completely coated.; Heat remaining olive oil in a large skillet over medium heat. Fry chicken for about 5 minutes per side, or until the coating is a nice dark brown color.; Remove chicken, and cut into slices. Toss the chicken slices into the sauce, and simmer for about 10 minutes. Stir in the cooked penne, simmer for a few more minutes to soak up the flavor, then serve. | Home; Recipes; World Cuisine; European; Italian
1K | 904 | 4.68488168716431 | 20 m | 1 cup all-purpose flour; 2 teaspoons baking powder; 1 teaspoon white sugar; 1/2 teaspoon salt; 1 tablespoon margarine; 1/2 cup milk | Stir together flour, baking powder, sugar, and salt in medium size bowl. Cut in butter until crumbly. Stir in milk to make a soft dough.; Drop by spoonfuls into boiling stew. Cover and simmer 15 minutes without lifting lid. Serve.; To make parsley dumplings, add 1 tablespoon parsley flakes to the dry ingredients. | Home; Recipes; Main Dish; Dumplings
1K | 842 | 4.57103586196899 | 8 h 20 m | 1 (3 pound) beef chuck roast; 4 cloves garlic, sliced; 1 (16 ounce) jar pepperoncini; 8 hoagie rolls, split lengthwise; 16 slices provolone cheese | Make small cuts in roast, and insert garlic slices in cuts. Place roast in the slow cooker, and pour the entire contents of the jar of pepperoncini, including liquid, over meat.; Cover, and cook on Low for 6 to 8 hours.; When making the sandwiches, place meat in rolls, top with cheese, and zap in a microwave for a few seconds. Don't forget to use the pepperoncini in the sandwiches! | Home; Recipes; Everyday Cooking
937 | 801 | 4.67132234573364 | 1 h 45 m | 1/4 cup soy sauce; 1/4 cup cider vinegar; 2 tablespoons honey; 2 tablespoons canola oil; 10 large mushrooms, cut in half; 2 green onions, minced; 3 skinless, boneless chicken breast halves - cut into chunks; 1/2 pound sliced thick cut bacon, cut in half; 1 (8 ounce) can pineapple chunks, drained; skewers | In a large bowl, mix the soy sauce, cider vinegar, honey, canola oil, and green onions. Place the mushrooms and chicken into the mixture, and stir to coat. Cover, and marinate in the refrigerator at least 1 hour.; Preheat grill for high heat.; Remove the mushrooms and chicken from the marinade and shake off excess. Pour the marinade into a small saucepan and bring to a boil over high heat. Reduce heat to medium-low and simmer for 10 minutes; set aside.; Wrap the chicken chunks with bacon, and thread onto skewers so that the bacon is secured. Alternate with mushroom halves and pineapple chunks.; Lightly oil the grill grate. Arrange skewers on the prepared grill. Cook 15 to 20 minutes, brushing occasionally with remaining soy sauce mixture, until bacon is crisp and chicken juices run clear. | Home; Recipes; Meat and Poultry; Chicken; Chicken Breasts
1K | 744 | 4.53464412689209 | 40 m | 1 pound ground beef; 3/4 cup bread crumbs; 2 teaspoons dried Italian seasoning; 2 cloves garlic, minced; 2 tablespoons chopped fresh parsley; 2 tablespoons grated Parmesan cheese; 1 egg, beaten; 1 French baguette; 1 tablespoon extra-virgin olive oil; 1/2 teaspoon garlic powder; 1 pinch salt, or to taste; 1 (14 ounce) jar spaghetti sauce; 4 slices provolone cheese | Preheat the oven to 350 degrees F (175 degrees C).; In a medium bowl, gently mix by hand the ground beef, bread crumbs, Italian seasoning, garlic, parsley, Parmesan cheese, and egg. Shape into 12 meatballs, and place in a baking dish.; Bake for 15 to 20 minutes in the preheated oven, or until cooked through. Meanwhile, cut the baguette in half lengthwise, and remove some of the bread from the inside to make a well for the meatballs. Brush with olive oil, and season with garlic powder and salt. Slip the baguette into the oven during the last 5 minutes of the meatball's time, or until lightly toasted.; While the bread toasts, warm the spaghetti sauce in a saucepan over medium heat. When the meatballs are done, use a slotted spoon to transfer them to the sauce. Spoon onto the baguette and top with slices of provolone cheese. Return to the oven for 2 to 3 minutes to melt the cheese. Cool slightly, cut into servings, and enjoy! | Home; Recipes; World Cuisine; European; Italian
1K | 815 | 4.51361513137817 | 50 m | 1 (8 ounce) package cream cheese; 1 cup salsa; 2 cups chopped cooked chicken breast meat; 1 (15.5 ounce) can pinto beans, drained; 6 (6 inch) flour tortillas; 2 cups shredded Colby-Jack cheese | Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.; In a small saucepan over medium heat, combine the cream cheese and salsa. Cook, stirring until melted and well blended. Stir in chicken and pinto beans. Fill tortillas with the mixture, roll and place into the prepared baking dish. Spread cheese over the top. Cover with aluminum foil.; Bake for 30 minutes, or until heated through. Garnish with your favorite toppings such as lettuce and tomatoes, or sour cream. | Home; Recipes; World Cuisine; Latin American; Mexican
2K | 751 | 4.60528802871704 | 2 h 35 m | 3 pounds corned beef brisket with spice packet; 10 small red potatoes; 5 carrots, peeled and cut into 3-inch pieces; 1 large head cabbage, cut into small wedges | Place corned beef in large pot or Dutch oven and cover with water. Add the spice packet that came with the corned beef. Cover pot and bring to a boil, then reduce to a simmer. Simmer approximately 50 minutes per pound or until tender.; Add whole potatoes and carrots, and cook until the vegetables are almost tender. Add cabbage and cook for 15 more minutes. Remove meat and let rest 15 minutes.; Place vegetables in a bowl and cover. Add as much broth (cooking liquid reserved in the Dutch oven or large pot) as you want. Slice meat across the grain. | Home; Recipes; Everyday Cooking
2K | 781 | 4.65844392776489 | 25 m | 4 skinless, boneless chicken breast halves; cayenne pepper, or to taste; salt and ground black pepper to taste; all-purpose flour for dredging; 2 tablespoons olive oil; 1 tablespoon capers, drained; 1/2 cup white wine; 1/4 cup fresh lemon juice; 1/4 cup water; 3 tablespoons cold unsalted butter, cut in 1/4-inch slices; 2 tablespoons fresh Italian parsley, chopped | Place chicken breasts between 2 layers of plastic wrap and pound to about 1/2-inch thick.; Season both sides of chicken breasts with cayenne, salt, and black pepper; dredge lightly in flour and shake off any excess.; Heat olive oil in a skillet over medium-high heat. Place chicken in the pan, reduce heat to medium, and cook until browned and cooked through, about 5 minutes per side; remove to a plate.; Cook capers in reserved oil, smashing them lightly to release brine, until warmed though, about 30 seconds.; Pour white wine into skillet. Scrape any browned bits from the bottom of the pan with a wooden spoon. Cook until reduced by half, about 2 minutes.; Stir lemon juice, water, and butter into the reduced wine mixture; cook and stir continuously to form a thick sauce, about 2 minutes. Reduce heat to low and stir parsley through the sauce.; Return chicken breasts to the pan cook until heated through, 1 to 2 minutes. Serve with sauce spooned over the top. | Home; Recipes; World Cuisine; European; Italian
